Trans Ref,0 - MERCHANT,1 - MERCHANT THIRD PARTY,2 -CREDO,3 - CREDO THIRD PARTY,4 - PROCESSOR,5 - STAMP DUTY,Settled Amount,Fee Amount,Fee Diff,Expected Credo commision
TdYz00T2uE04gwLD51mz,49950,,,402.5,,50,50000,350,52.5,-52.5
hk3u00Qacm02n2Qw82Qi,33970,65980,197.5,106,125,50,100000,322.5,106,91.5
F36m002OzV04NsE751D7,5000,,,402.5,,,5000,350,52.5,-52.5
Ez8d00Nuqe02pY4X62uh,179950,,575,460,125,50,180000,700,460,115
v8yA00KeKs027n4m62Os,107950,,700,460,,50,108000,700,460,240
hiAD008d0802a80G82to,26850,38100,197.5,106,125,50,65000,322.5,106,91.5
Kxsh00rS7Y012T8L821I,57450,,500,275,,50,57500,500,275,225
EpO100ko6y02eEp4823g,,5000,279.39,106,43.11,,5000,322.5,106,173.39
Y8yq00IDmo02T10O827e,14950,,322.5,70,,50,15000,322.5,70,252.5
WEWX00CfA3021BzO823A,,14950,198.39,106,124.11,50,15000,322.5,106,92.39
UZsQ00x1O401t6ch82eT,51950,,500,275,,50,52000,500,275,225
MUO000PBpY01voNV82ZR,51950,,375,275,125,50,52000,500,275,100
B94600qACQ02Nn4D82u5,14950,,197.5,70,125,50,15000,322.5,70,127.5
hc790056C801X2GT71eW,21650,,300,160,,50,21700,300,160,140
HZqZ005wfY02GrFs820f,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
TW2000rFdd01y64b822F,89950,,500,275,,50,90000,500,275,225
Ya2x00NT2X01E6Vm71Pv,3100,,300,160,,,3100,300,160,140
jVf800GbRY02VsZo62u2,89950,,575,460,125,50,90000,700,460,115
DEM900kH9Z028sj3627w,77950,,700,460,,50,78000,700,460,240
x0sH00PzdQ02lk4a8294,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Ft2500HX47019Xah82r3,97450,,375,275,125,50,97500,500,275,100
gVul00hN2P025A7W82i0,,2000,303.69,70,18.81,,2000,322.5,70,233.69
R807005L0300KEJW127D,99950,,375,245,125,50,100000,500,245,130
tkTo009eLC01JiC482R7,55950,,500,275,,50,56000,500,275,225
KxCY00U93B04wrQ851B6,19950,,,277.5,125,50,20000,350,52.5,-52.5
z04V0062Zj023Wbv82m0,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
fA1Y00Ur8D02fKlj8282,35250,22450,197.5,70,125,50,57750,322.5,70,127.5
z9PQ007UPk02NsyY77dE,14650,,178.5,45,121.5,50,14700,300,45,133.5
vHP300yWpe02z4aj82j3,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
UxuT00S8i804Rg6551GQ,71450,,,402.5,,50,71500,350,52.5,-52.5
iX14001Kul02Bx3z82Yh,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
vdNl00KkIR01mQ4f82to,55950,,375,275,125,50,56000,500,275,100
mS4G00q8Wk12SxIn6651,249950,,2850,8650,1200,50,250000,12600,100,2750
dpm800a0Mk023Bn882uh,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
AJu900sS1V00PLUV283B,1500,,300,45,,,1500,300,45,255
d65u00oxVq02R4lT82S5,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
QvNG00QGfg02bH7J62hf,55950,,700,460,,50,56000,700,460,240
zE0C00BC3302D6C382aM,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
ktz900OANW01qAMS829K,79950,,500,275,,50,80000,500,275,225
Aeo600R95b025WGP77G0,44950,,300,45,,50,45000,300,45,255
rNv100rPDy02rsTx62b1,77950,,700,460,,50,78000,700,460,240
v00J00Y9V801tJp982tw,161450,,500,275,,50,161500,500,275,225
P0vI00zA7900411328RB,13950,,300,45,,50,14000,300,45,255
u09I00p0tt02QPGg82Mf,45300,49150,197.5,106,125,50,94500,322.5,106,91.5
F2Vf00G0NE02PGXL62pL,89950,,700,460,,50,90000,700,460,240
jcRY000oSm02F6G282Yf,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
ubQA00HVW801qO5Z82WK,57450,,375,275,125,50,57500,500,275,100
kNo800Sl3R02svI88270,96570,64380,197.5,106,125,50,161000,322.5,106,91.5
Bc2500ndzw023ldS62Ys,107950,,575,460,125,50,108000,700,460,115
Ay0A00wmsQ02wmrq62sc,5000,,700,460,,,5000,700,460,240
z29U00qbd201n8pp714w,21650,,300,160,,50,21700,300,160,140
q4Pz00tlZD02X5ub82hG,,19950,197.5,106,125,50,20000,322.5,106,91.5
hciR00vmQH02h4Lv82wK,38970,25980,322.5,106,,50,65000,322.5,106,216.5
poHZ00GBK401B78X820H,57450,,375,275,125,50,57500,500,275,100
J49J008Lj002ck368247,8170,6780,197.5,106,125,50,15000,322.5,106,91.5
ie0h00ZeQ701cFWS716K,21650,,175,160,125,50,21700,300,160,15
ecp000E5aI023aPf82RN,14950,,322.5,70,,50,15000,322.5,70,252.5
GO5l001Q8802KZqD62qb,107950,,575,460,125,50,108000,700,460,115
QOQC00SD9D00mo832885,1500,,300,45,,,1500,300,45,255
l9Qp00uJ6o02BW8582uO,,14950,322.5,70,,50,15000,322.5,70,252.5
KgGY00E7uP02U95C82vE,,2000,303.69,70,18.81,,2000,322.5,70,233.69
DXei0030P002tRtq82SS,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
dPVT00KW5Q00AjBn28fO,13950,,300,45,,50,14000,300,45,255
V5SE00M9ZX02h9co62jw,89950,,700,460,,50,90000,700,460,240
hiwL00Ie9h02lq4V620G,68950,,700,460,,50,69000,700,460,240
TNMj002iq401GUS371X2,3100,,300,160,,,3100,300,160,140
jH0W00528h02GxqQ62tb,77950,,700,460,,50,78000,700,460,240
qN9s006rY402O4bJ8268,,9950,322.5,106,,50,10000,322.5,106,216.5
DSmI005KbL02c5yE82gZ,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
x9zC00x42101kAs0713s,3100,,175,160,125,,3100,300,160,15
cmat00SSSo02L9n1826T,6900,6050,197.5,106,125,50,13000,322.5,106,91.5
zziP00fQs802SIqD82jm,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Lbhh00Ri8z02XJn682v1,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
j3CO00T1Gt02mKke82Jl,82470,54980,197.5,106,125,50,137500,322.5,106,91.5
qEKY00UD3r02pTU882sY,64470,42980,197.5,106,125,50,107500,322.5,106,91.5
I5vH009U0E028Xto624B,119950,,575,460,125,50,120000,700,460,115
EUb100Wd0D02eDMf82Gv,,14950,198.39,106,124.11,50,15000,322.5,106,92.39
Ti5W00Qw8302uHRp62S4,77950,,700,460,,50,78000,700,460,240
Q1C6003m8Z025M8Z8270,,2000,197.5,70,125,,2000,322.5,70,127.5
vbDu00cSX1022ZQO82mK,70470,46980,197.5,106,125,50,117500,322.5,106,91.5
tH1i00R7Qb02t50982Ct,52470,34980,322.5,106,,50,87500,322.5,106,216.5
VIKk003SGG02e75282pZ,14950,,322.5,70,,50,15000,322.5,70,252.5
Sv0c00jz5102v0Qb62v2,77950,,700,460,,50,78000,700,460,240
I6AX00EDHz02z6jK827j,,40450,197.5,70,125,50,40500,322.5,70,127.5
RC6m00isia04Pjx551TA,19450,,,402.5,,50,19500,350,52.5,-52.5
